id,name,address,city,state,zip
0,The Cambridge House,357 Salmon Brook Street,Granby,CT,6035
1,Thomas Hooker Brewing,16 Tobey Road,Bloomfield,CT,6002
2,Amherst Brewing Company,24 North Pleasant Street,Amherst,MA,1002
3,Boston Beer Company,30 Germania Street,Boston,MA,2130
4,Boston Beer Works,61 Brookline Avenue,Boston,MA,2215
5,Brewery at Martha's Vineyard,,Oak Bluffs,MA,
6,Buzzards Bay Brewing Inc.,98 Horseneck Rd,Westport,MA,2790
7,Cambridge Brewing,1 Kendall Square #100,Cambridge,MA,2139
8,Cape Ann Brewing,27 Commercial Street,Gloucester,MA,1930
9,Commonwealth Brewing #1,,Boston,MA,
10,Element Brewing Company,30 Bridge St,Millers Falls,MA,01349
11,Harpoon Brewery - Boston,306 Northern Avenue,Boston,MA,2210
12,John Harvard's Brew House - Framingham,1 Worcester Road,Framingham,MA,1701
13,John Harvard's Brew House - Harvard Square,33 Dunster Street,Cambridge,MA,2138
14,Mercury Brewing Company,23 Hayward St.,Ipswich,MA,1938
15,New Century Brewing Company,PO Box 1498,Boston,MA,2117
16,Paper City Brewing Company,108 Cabot St.,Holyoke,MA,1040
17,Wachusetts Brewing Company,175 State Road East,Westminster,MA,1473
18,Watch City Brewing,256 Moody Street,Waltham,MA,2453
19,Allagash Brewing,100 Industrial Way,Portland,ME,4103
20,Andrew's Brewing,,Lincolnville,ME,4849
21,Atlantic Brewing Company,15 Knox Rd.,Bar Harbor,ME,4609
22,Bar Harbor Brewing Company,8 Mt. Desert Street,Bar Harbor,ME,4609
23,Baxter Brewing,,Lewiston,ME,
24,Belfast Bay Brewing Company,100 Searsport Avenue,Belfast,ME,4915
25,D.L. Geary Brewing Company,38 Evergreen Drive,Portland,ME,4103
26,Marshall Wharf Brewing Company,2 Pinchy Lane,Belfast,ME,4915
27,Pugsley Brewing,,Portland,ME,
28,Sea Dog Brewing Company,26 Front Street,Bangor,ME,4401
29,Shipyard Brewing - Portland,86 Newbury Street,Portland,ME,4101
30,Stone Coast Brewing - Portland,23 Rice Street,Portland,ME,4103
31,Castle Springs Brewery,,Moultonborough,NH,
32,Elm City Brewing Co,222 West St # 46,Keene,NH,3431
33,Milly's Tavern,500 Commercial Street,Manchester,NH,3102
34,Pennichuck Brewing Company,127 Elm St. | Unit C,Milford,NH,3055
35,Portsmouth Brewery,56 Market Street,Portsmouth,NH,3801
36,Smuttynose Brewing Co.,225 Heritage Ave,Portsmouth,NH,3801
37,Costal Extreme Brewing Company,307 Oliphant Lane,Middletown,RI,2842
38,The Narragansett Brewing Company,60 Ship Street,Providence,RI,2903
39,Bobcat Cafe & Brewery,4 Main Street,Bristol,VT,5443
40,Catamount Brewing,,White River Junction,VT,
41,Green Mountain Beverage,153 Pond Lane,Middlebury,VT,5753
42,Harpoon Brewery - Windsor,336 Ruth Carney Drive,Windsor,VT,5089
43,Kross Brewing,,Morrisville,VT,
44,Long Trail Brewing Co,Route 4 & 100A,Bridgewater Corners,VT,5035
45,Magic Hat,5 Bartlett Bay Road,South Burlington,VT,5403
46,Orlio Organic,5 Bartlett Bay Road,South Burlington,VT,5403
47,Otter Creek Brewing & Wolaver's Organic Ales,793 Exchange Street,Middlebury,VT,5753
48,Rock Art Brewery,254 Wilkins Street,Morrisville,VT,5661
49,Stonecutters Brewhouse,14 N Main St.,Barre,VT,5641
50,Switchback Brewing Co,PO Box 4210,Burlington,VT,5406
51,The Alchemist,23 South Main Street,Waterbury,VT,5676
52,Three Needs Brewery and Taproom,207 College Street,Burlington,VT,5401
53,Trout River Brewing,58 Broad Street,Lyndonville,VT,5851
54,Vermont Pub & Brewery,144 College St.,Burlington,VT,5401
55,Basil T's Brew Pub and Italian Grill,1171 Hooper Avenue,Toms River,NJ,8753
56,Climax Brewing Copmany,112 Valley Road,Roselle Park,NJ,7204
57,Cricket Hill,24 Kulick Road,Fairfield,NJ,7004
58,Flying Fish Brewing Company,1940 Olney Avenue,Cherry Hill,NJ,8003
59,Gaslight Brewery,15 South Orange Avenue,South Orange,NJ,7079
60,Harvest Moon Brewery / Cafe,392 George Street,New Brunswick,NJ,8901
61,Heavyweight Brewing,,Ocean,NJ,
62,High Point Wheat Beer Company,22 Park Place,Butler,NJ,7405
63,JJ Bitting Brewing,33 Main Street,Woodbridge,NJ,7095
